business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107,39.9555052,-75.1555641,4.0,80,1,"{'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False', 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'Caters': 'True'}","Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,903 Embarcadero Del Norte,Isla Vista,CA,93117,34.4129345,-119.8555307,3.0,184,1,"{'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'Caters': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Food, Restaurants, Chinese, Bubble Tea, Vietnamese","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
epGYbd0_OeSxsSkw-Kx5Rg,Hippie Hi,1814 Drew St,Clearwater,FL,33764,27.9684516983,-82.7621585038,4.0,16,0,"{'HasTV': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'False', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'Caters': 'False', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True'}","Vegan, Gluten-Free, Restaurants, Bubble Tea, Salad, Tea Rooms, Food, Coffee & Tea","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-16:0'}"
i9eMSNpOA8BfHGZrM-9sZg,Kung Fu Tea,1469 Brace Rd,Cherry Hill,NJ,08034,39.8892597,-75.0158522,4.5,10,1,"{'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True'}","Bubble Tea, Juice Bars & Smoothies, Food, Coffee & Tea","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}"
-3-6BB10tIWNKGEF0Es2BA,The 81 Hong Kong Cafe,"625 E Wetmore Rd, Ste 109",Tucson,AZ,85705,32.2885403,-110.9631443,4.0,133,1,"{'Alcohol': ""u'none'"", 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'BYOB': 'False', 'Corkage': 'True', 'WheelchairAccessible': 'True', 'HasTV': 'True', 'Caters': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': True, u'validated': True}"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'False', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True'}","Coffee & Tea, Asian Fusion, Food, Bubble Tea, Hong Kong Style Cafe, Taiwanese, Restaurants, Chinese","{'Monday': '0:0-0:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}"
F3dxQiOwN55rSLw-BNSq6A,Sweet Alley,955 Embarcadero Del Mar,Goleta,CA,93117,34.4120096,-119.8575399,4.0,51,0,"{'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'False', 'DogsAllowed': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'None', 'Caters': 'False'}","Acai Bowls, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Bubble Tea, Desserts, Food","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:30'}"
Zm3X8i9GsYaxdWHlI-WQwg,Eleven Cafē,"33 N Stone Ave, Ste 150",Tucson,AZ,85701,32.2226061406,-110.9721927976,5.0,21,1,"{'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsBitcoin': 'False', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'RestaurantsDelivery': 'False'}","Coffee & Tea, Restaurants, Food, Cafes, Bubble Tea","{'Monday': '7:0-14:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0'}"
ju4YP8SLdR_BmWr_-Xh83Q,Phamous Cafe,"7127 Hollister Ave, Ste 25",Goleta,CA,93117,34.428242,-119.876408,4.0,220,1,"{'NoiseLevel': ""'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'Alcohol': ""'none'"", 'WheelchairAccessible': 'True', 'Corkage': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'WiFi': ""'free'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'HappyHour': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '1', 'BYOB': 'False', 'OutdoorSeating': 'None'}","Food, Vietnamese, Restaurants, Bubble Tea","{'Monday': '0:0-0:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '10:0-20:0'}"
aI2w94F3TvIuPTcflKVCJQ,Honeydeux,1912 Magazine St,New Orleans,LA,70130,29.931227,-90.073987,3.5,88,0,"{'Caters': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'False', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'Alcohol': ""'none'""}","Juice Bars & Smoothies, Coffee & Tea, Salad, Cafes, Restaurants, Bubble Tea, Food","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-17:0'}"
kf8HXRAZxtC7xVR0Tg-rhA,Num Num Boba,"6300 Mae Anne Ave, Ste 3",Reno,NV,89523,39.5275583,-119.8859044,4.5,114,1,"{'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': False}"", 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'NoiseLevel': ""u'average'""}","Food, Coffee & Tea, Bubble Tea, Juice Bars & Smoothies, Shaved Ice","{'Monday': '11:30-20:0', 'Tuesday': '11:30-20:0', 'Wednesday': '11:30-17:0', 'Thursday': '11:30-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}"
